A41,Ballyboughal,53.52005545825442,-6.26762739912515
A42,Garristown,53.56699355090305,-6.383648210620391
A45,Oldtown,53.522983027588815,-6.315516474050679
A63,Greystones,53.143393950048726,-6.077620033441408
A67,Wicklow,52.980854305840126,-6.046012106472137
A75,Castleblayney,54.120833924706446,-6.739694452800247
A81,Carrickmacross,53.97800189588269,-6.7187379692964235
A82,Kells|Kingscourt|Virginia,53.7923324780188,-6.933423341749785
A83,Enfield|Summerhill|Rathmoylon,53.45921179202562,-6.796400134988638
A84,Ashbourne,53.513517939235136,-6.400734736819807
A85,Dunshaughlin,53.513802442993565,-6.539909121066631
A86,Dunboyne,53.418497018554056,-6.473022159368812
A91,Dundalk,53.99816223576375,-6.406208805512824
A92,Drogheda|Ardee|Dunleer,53.746088491073756,-6.37494597023423
A94,Blackrock|Monkstown|Booterstown|Stillorgan,53.297984059938365,-6.173301860338906
A96,Dun Laoghaire|Dalkey|Sallynoggin|Glenageary,53.29452241956283,-6.1338049368571355
A98,Bray|Kilmacanogue|Roundwood,53.19948500814417,-6.1101380089245865
C15,Trim|Navan|Athboy,53.620161235416525,-6.78756170967585
D01,Dublin 1,53.34931994655814,-6.238866306363938
D02,Dublin 2,53.3443255757805,-6.256160965782437
D03,Dublin 3,53.3633133751748,-6.221450868826447
D04,Dublin 4,53.32957389982426,-6.227547779329419
D05,Dublin 5,53.38410590319578,-6.192073895140744
D06,Dublin 6,53.30877327437865,-6.263286536844143
D6W,Dublin 6W,53.30888699887275,-6.301458027947428
D07,Dublin 7,53.3618578825708,-6.292081533709116
D08,Dublin 8,53.34475550907344,-6.290069067510854
D09,Dublin 9,53.38194139968324,-6.24669370067583
D10,Dublin 10,53.34282309402955,-6.348606552725712
D11,Dublin 11,53.38980603354542,-6.29284685866873
D12,Dublin 12,53.32204847341551,-6.316530489849803
D13,Dublin 13,53.394882539775764,-6.149339068166684
D14,Dublin 14,53.29596026112645,-6.25934188456503
D15,Dublin 15,53.38849862866578,-6.375274894994186
D16,Dublin 16,53.280115706229054,-6.279024868873312
D17,Dublin 17,53.400504030455664,-6.205698879569056
D18,Dublin 18,53.24691368997951,-6.177311147882808
D20,Dublin 20,53.352030993167126,-6.369460848073037
D22,Dublin 22,53.327445004328204,-6.400472832378606
D24,Dublin 24,53.285284288671626,-6.371176984336406
E21,Cahir,52.37452846572383,-7.925418667755074
E25,Cashel,52.51623690619094,-7.89182402205773
E32,Carrick on Suir,52.347985965548965,-7.408248608620712
E34,Tipperary,52.62161153170665,-7.892182495665423
E41,Thurles|Templemore,52.67999875278563,-7.804555120443068
E45,Nenagh,52.86502246615661,-8.198330800411501
E53,Roscrea,52.955177763059915,-7.79855543672913
E91,Clonmel|Fethard,52.355519634315236,-7.698556204842669
F12,Knock|Swinford|Claremorris,53.79034147900785,-8.921380115816273
F23,Castlebar,53.85775355853488,-9.296730224318866
F26,Ballina|Bangor,54.114112815225404,-9.150234042497996
F28,Westport|Achill,53.80221283583471,-9.514911141610504
F31,Ballinrobe,53.62375803495604,-9.220728060305891
F35,Ballyhaunis,53.76293813628173,-8.764595684537214
F42,Roscommon,53.628674025402034,-8.187113596309526
F45,Castlerea|Glenamaddy,53.76865595277243,-8.492324959095578
F52,Boyle,53.97228278929404,-8.297275689804367
F56,Ballymote,54.089903113678645,-8.5170110273135
F91,Sligo|Manorhamilton|Tubbercurry,54.27659205926457,-8.476004853508632
F92,Letterkenny,54.957939488985325,-7.733449089365188
F93,Lifford|Carndonagh,54.83294811703765,-7.485553158469576
F94,Bundoran|Donegal,54.65390735765946,-8.109622376644547
H12,Cavan,53.99014993264874,-7.363443567457946
H14,Belturbet,54.10215604398568,-7.449624936785156
H16,Cootehill,54.072653360210644,-7.082482820890649
H18,Monaghan,54.24993500404089,-6.9695438904750295
H23,Clones,54.17975706645307,-7.230710005386386
H53,Ballinasloe|Portumna,53.329936332727264,-8.215702034709304
H54,Tuam,53.51432940277173,-8.856591318345236
H62,Loughrea,53.19886096672965,-8.565749792262373
H65,Athenry,53.30089201199703,-8.745428119648016
H71,Clifden,53.48948538303416,-10.020283879222031
H91,Galway|Spiddal|Headford|Ballyvaughan,53.271587899510315,-9.056650875840766
K32,Balbriggan,53.60788520339744,-6.185781498303495
K34,Skerries,53.57830642564036,-6.114071443371149
K36,Malahide|Donabate,53.446459767150124,-6.1634374352232735
K45,Lusk,53.52574101355398,-6.167752483291299
K56,Rush,53.522430255378204,-6.094245041408397
K67,Swords,53.45600824228753,-6.221019294959228
K78,Lucan,53.34663915594442,-6.436474042397649
N37,Athlone|Moate,53.42805062467147,-7.934164154638047
N39,Longford|Ballymahon|Granard|Lanesborough,53.72686258454985,-7.797663072265116
N41,Carrick On Shannon,53.94520692962681,-8.085902949574098
N91,Mullingar|Kinnegad,53.52505557403351,-7.336311644204187
P12,Macroom,51.90490861371719,-8.958890700566068
P14,Crookstown,51.8423993229651,-8.830260248671859
P17,Kinsale,51.706195883423256,-8.522240121590574
P24,Cobh,51.85025212146228,-8.294567626386938
P25,Midleton,51.91449457948569,-8.172553429102082
P31,Ballincollig,51.887524083815016,-8.6028658075729
P32,Rylane,51.984035585835834,-8.840603385716639
P36,Youghal,51.95456627816658,-7.853450656526721
P43,Carrigaline,51.81461461522287,-8.387217048507377
P47,Dunmanway,51.722362292565705,-9.111851700621783
P51,Mallow|Rathmore|Cappoquin,52.13397669900255,-8.645143441301752
P56,Charleville,52.35488019804697,-8.683263241823422
P61,Fermoy|Rathcormac,52.13743818076301,-8.281397540658585
P67,Mitchelstown,52.26631660194159,-8.269800453595957
P72,Bandon,51.74802955892646,-8.72530592117074
P75,Bantry|Glengarriff,51.68014337202572,-9.453280355820306
P81,Skibbereen|Baltimore,51.55581649184709,-9.261787002525589
P85,Clonakilty|Rosscarbery,51.620514103612514,-8.905642046973936
R14,Athy,52.99183451538156,-6.98569217087108
R21,Bagenalstown,52.70316137150898,-6.955309692391553
R32,Portlaoise|Abbeyleix|Portarlington,53.037383634520424,-7.297954199516861
R35,Tullamore|Walsh Island Offaly,53.27534418649146,-7.493238819836438
R42,Birr|Banagher,53.098235957966104,-7.909473579578539
R45,Edenderry,53.34322239619236,-7.051471928488683
R51,Kildare,53.15899699166782,-6.909056085222904
R56,Curragh,53.15689342960605,-6.849782772596347
R93,Carlow|Tullow,52.838081221892914,-6.924700212177832
R95,Kilkenny|Graiguenamanagh|Thomastown,52.654355531026624,-7.2450655800000945
T12,Cork City Southside|Mahon|Passage West,51.89364818991091,-8.445742226308232
T23,Cork City Northside|Hollyhill,51.909188210751225,-8.475077316461073
T34,Carrignavar,51.989848138205936,-8.473538170125392
T45,Glanmire|Carrigtwohill,51.91792025336607,-8.39808323278056
T56,Watergrasshill,52.0113934528967,-8.343869738159935
V14,Shannon,52.71254342057958,-8.87378553271083
V15,Kilrush|Kilkee,52.64075080216659,-9.485465323617863
V23,Caherciveen,51.9477715485796,-10.220904710771686
V31,Listowel,52.44625690876809,-9.485322548270007
V35,Kilmallock,52.39857669388777,-8.570892505734921
V42,Newcastle West,52.448749116158325,-9.054753167761696
V92,Tralee|Dingle,52.27170178533959,-9.70258355436789
V93,Kenmare|Killarney,52.05816253886202,-9.506571026843663
V94,Limerick|Abbeyfeale|Newport|Killaloe-Ballina,52.663897761462096,-8.63116031597914
V95,Miltown Malbay|Ennis|Kildysart,52.84582942967988,-8.982626712452285
W12,Newbridge,53.17525381067839,-6.805029281805728
W23,Maynooth|Celbridge|Leixlip,53.381277129661086,-6.591524274199586
W34,Monasterevin,53.14011538818719,-7.060291163991825
W91,Naas|Blessington,53.2205437050142,-6.660169841181279
X35,Dungarvan,52.09370320113552,-7.6203191151168665
X42,Kilmacthomas|Bunmahon,52.20647766936717,-7.422597158961377
X91,Waterford|Dunmore East|Tramore,52.240288287972625,-7.113903629767476
Y14,Arklow,52.797692821070925,-6.159907209759502
Y21,Enniscorthy|Bunclody,52.503204827812546,-6.573048360062037
Y25,Gorey,52.675864405272286,-6.294259263882475
Y34,New Ross|Fethard On Sea,52.3953732938562,-6.945373087322137
Y35,Wexford|Rosslare,52.33675600283288,-6.463587545058728